wallet,n_trades,n_eff,n_markets,total_stake,total_profit,edge_per_share,edge_se,t_stat,roi,avg_price,first_ts,last_ts,category,n_wallets_in_category,t_needed,focus,clears_luck
0xfe911a4e80ee71b47cd1ee690733ac4062e970ff,134,4.5,7,90385.00751385013,34567.80910814987,0.2700679468358992,0.06689446347167809,4.037224200927198,0.3824506968465194,0.7061510125690258,1732176996.0,1733171449.0,econ,127,3.406835237039453,0.15876777251184834,True
0x9b3dcd99eec7fe11602e6534e6302c0f318d7422,691,3.7,6,167314.16602370856,191073.55595729145,0.4818754546154457,0.13945148983493033,3.4555059625812885,1.1420046520760003,0.4219557720184986,1746829932.0,1748292429.0,weather,79,3.283399025587026,0.5777591973244147,True
0x0054c4a7d35537869f23042ae7cb540c5c7a7f85,47,4.1,17,445.41309999951005,79.09690000049,0.14921128089132238,0.046892387889346014,3.1819936584040605,0.1775809916694794,0.8402435389539898,1741555084.0,1741877757.0,sports,167,3.477021737942701,0.0644718792866941,False
0x509587cbb541251c74f261df3421f1fcc9fdc97c,87,2.2,7,30431.846091017294,20161.500120982702,0.2579189168966891,0.08164450560340035,3.159048058292697,0.6625132126615829,0.3893038085391908,1760096004.0,1761906994.0,politics,179,3.4946840867390496,0.514792899408284,False
0x571080e37b2d37f65830e8795e38e3ca9a28ce1d,41,9.4,19,907.7759099994,132.91409000059997,0.12771727411678788,0.041445314909986396,3.081585322591286,0.14641729146644553,0.8722827258832121,1729240256.0,1729437954.0,sports,167,3.477021737942701,0.03471634208298052,False
0x59ee6c6a56d7b00223f0c30f8002c4df762b684d,513,1.4,9,910326.3938319233,335190.9787600767,0.25724664429396654,0.0969512155167464,2.6533617234487616,0.3682096674678689,0.6986417441535934,1730846243.0,1731382219.0,politics,179,3.4946840867390496,0.9642857142857143,False
0xa6a856a8c8a7f14fd9be6ae11c367c7cbb755009,42,4.6,10,24154.261132949607,11016.372292050395,0.2827139035775673,0.12428218597534159,2.2747741469051697,0.4560840106602394,0.6198724291349375,1771892566.0,1772157492.0,sports,167,3.477021737942701,1.0,False
0x4a64afa45a44a01890c2161be88d2b44751d4430,191,5.9,11,19182.95000699501,4188.396749004989,0.11550460006658274,0.05149534146744803,2.2430106641704115,0.21833955400382637,0.5290136301394045,1737796787.0,1739895110.0,other,205,3.5290545515152685,0.1534136546184739,False
0x2b064e1415c2fd4239c16e5ccf1d2730bab91dad,55,4.1,5,10281.859596887114,1845.6514711128855,0.12117329394014005,0.05812854796395765,2.084574588294774,0.1795056092452056,0.6750390388894015,1749886950.0,1750998030.0,sports,167,3.477021737942701,0.0698856416772554,False
0xf6129c47f5ef4cab25f3aa67b5e3aaac77b15700,26,3.3,6,224.80739499948717,107.16319500051287,0.24246680078987354,0.11730183198029144,2.0670333676511703,0.47668892298119164,0.5086478604820451,1738213276.0,1738383146.0,entertainment,32,3.044206650397144,0.042483660130718956,False
0x17525891a4ed52520ad75dac8ed5f32a58be7993,154,11.3,50,45207.7187722426,5156.137359757401,0.0995153180906336,0.04958321684589297,2.0070363405410343,0.11405435841021143,0.8725253421067325,1752957546.0,1753348644.0,sports,167,3.477021737942701,0.4010416666666667,False
0xb46d7cfe0fca9b242c4acb02bac3f20ddd1c7093,111,6.2,12,4368.976803010728,831.2612019892722,0.09724582530236917,0.05022722551398934,1.936117798807823,0.19026450344539195,0.5111086069203644,1750786143.0,1751459429.0,sports,167,3.477021737942701,0.2991913746630728,False
0x20322d5ab3ce70a98ef4c484c62a94147217d577,35,3.9,5,2838.3078670029495,843.866335997051,0.20189733723787953,0.1051226217995957,1.9205888683291577,0.29731317937969626,0.6790729481253102,1757898336.0,1766300146.0,sports,167,3.477021737942701,0.11864406779661017,False
0x1dbd30000dd7dd051e8fc803fac38e8246d9af92,641,3.8,28,600242.5719297059,114394.14411629399,0.14686779851197554,0.07918018058815207,1.8548555638676043,0.1905798579872982,0.7706365198454708,1730787692.0,1731743479.0,politics,179,3.4946840867390496,0.4678832116788321,False
0x7789806c754eb0af4c3abeb026c218b4ba78f823,23,5.4,12,7943.871810000434,1560.2590989995651,0.16392184641964871,0.08926290479176456,1.8363938166929588,0.19641040745841037,0.83458839346056,1727478940.0,1728351088.0,econ,127,3.406835237039453,0.04092526690391459,False
